Holding Name,Buying Price,Current Price,Number of Units,Total Amount,Perct Change
ASHOKLEY,142.0,142.67,70,9986.9,0.47
HINDCOPPER,312.0,329.44,35,11530.4,5.59
Cash,1.0,1.0,4140,4140.0,0.0
