Holding Name,Buying Price,Current Price,Number of Units,Total Amount,Perct Change
HINDCOPPER,312.0,344.55,25,8613.75,10.43
BEL,412.65,413.5,8,3308.0,0.21
Cash,287.85,287.85,1,13830.5,0.0
