Holding Name,Buying Price,Current Price,Number of Units,Total Amount,Perct Change
BSE,2385.0,2479.0,1,2479.0,3.94
LTF,266.26,270.49,30,8114.7,1.59
BEL,412.8,426.1,10,4261.0,3.22
LAURUSLABS,900.05,953.65,3,2860.95,5.96
INDUSTOWER,361.55,363.6,5,1818.0,0.57
Cash,6942.2,6942.2,1,6942.2,0.0
