Holding Name,Buying Price,Current Price,Number of Units,Total Amount,Perct Change
BSE,2385.0,2548.3,1,2548.3,6.85
LTF,266.26,279.7,30,8391.0,5.05
BEL,419.45,422.3,20,8446.0,0.68
LAURUSLABS,900.05,975.4,3,2926.2,8.37
BHEL,265.49,264.95,10,2649.5,-0.2
IDBI,103.8,101.51,10,1015.1,-2.21
Cash,806.3,806.3,1,806.3,0.0
