Holding Name,Buying Price,Current Price,Number of Units,Total Amount,Perct Change
HINDCOPPER,312.0,364.15,25,9103.75,16.71
BEL,412.65,409.35,8,3274.8,-0.8
Cash,287.85,287.85,1,13830.5,0.0
