Holding Name,Buying Price,Current Price,Number of Units,Total Amount,Perct Change
GMRAIRPORT,108.4,108.4,30,3252,0.0
LTF,311.2,311.2,20,6224,0.0
RVNL,324.1,324.1,20,6482,0.0
ABCAPITAL,357.6,357.6,10,3576,0.0
NBCC,116.65,116.65,40,4666,0.0
Cash,2984.3,2984.3,1,2984.3,0.0
