Holding Name,Buying Price,Current Price,Number of Units,Total Amount,Perct Change
BSE,2385.0,2496.6,1,2496.6,4.68
LTF,266.26,280.0,30,8400.0,5.16
BEL,419.45,415.15,20,8303.0,-1.03
LAURUSLABS,900.05,983.15,3,2949.45,9.23
BHEL,265.49,267.25,10,2672.5,0.66
IDBI,103.8,99.26,10,992.6,-4.37
Cash,806.3,806.3,1,806.3,0.0
