Holding Name,Buying Price,Current Price,Number of Units,Total Amount,Perct Change
HINDCOPPER,312.0,342.2,25,8555.0,9.68
BEL,412.65,403.65,8,3229.2,-2.18
Cash,287.85,287.85,1,13830.5,0.0
