Holding Name,Buying Price,Current Price,Number of Units,Total Amount,Perct Change
BSE,2385.0,2485.6,1,2485.6,4.22
RBLBANK,291.6,299.5,10,2995.0,2.71
IDBI,93.46,91.72,20,1834.4,-1.86
Cash,2138.2,2138.2,1,18233.5,0.0
