Holding Name,Buying Price,Current Price,Number of Units,Total Amount,Perct Change
GMRAIRPORT,106.8,106.8,50,5340,0.0
NBCC,118.52,118.52,60,7111.2,0.0
HUDCO,239.25,239.25,30,7177.5,0.0
IDBI,101.71,101.71,40,4068.4,0.0
Cash,3569.9,3569.9,1,3569.9,0.0
