Holding Name,Buying Price,Current Price,Number of Units,Total Amount,Perct Change
BSE,2385,2487.8,1,2487.8,4.31
LTF,266.26,267.85,30,8035.5,0.6
BEL,412.8,417.7,10,4177,1.19
LAURUSLABS,900.05,923.9,3,2771.7,2.65
Cash,2256.95,2256.95,1,8749.95,0
