Holding Name,Buying Price,Current Price,Number of Units,Total Amount,Perct Change
BSE,2385.0,2475.0,1,2475.0,3.77
LTF,266.26,267.0,30,8010.0,0.28
BEL,412.8,422.05,10,4220.5,2.24
LAURUSLABS,900.05,926.4,3,2779.2,2.93
Cash,2256.95,2256.95,1,8749.95,0.0
