Holding Name,Buying Price,Current Price,Number of Units,Total Amount,Perct Change
BSE,2385.0,2442.8,1,2442.8,2.42
LTF,266.26,267.89,30,8036.7,0.61
BEL,412.8,409.9,10,4099.0,-0.7
LAURUSLABS,900.05,969.55,3,2908.65,7.72
INDUSTOWER,361.55,368.25,5,1841.25,1.85
Cash,6942.2,6942.2,1,6942.2,0.0
