Holding Name,Buying Price,Current Price,Number of Units,Total Amount,Perct Change
BEL,412.65,409.4,8,3275.2,-0.79
BSE,2385,2476,1,2476,3.82
RBLBANK,291.6,290,10,2900,-0.55
IDBI,93.46,93.23,20,1864.6,-0.25
NYKAA,265.19,261.48,10,2614.8,-1.4
Cash,2138.2,2138.2,1,12456.4,0
