Holding Name,Buying Price,Current Price,Number of Units,Total Amount,Perct Change
BSE,2385.0,2775.4,1,2775.4,16.37
LTF,275.59,294.9,28,8257.2,7.01
BEL,419.45,424.75,10,4247.5,1.26
LAURUSLABS,900.05,989.25,3,2967.75,9.91
BHEL,265.49,287.05,10,2870.5,8.12
NHPC,81.48,81.98,30,2459.4,0.61
SAIL,144.05,143.49,10,1434.9,-0.39
CDSL,1600.9,1655.3,1,1655.3,3.4
Cash,472.6,472.6,1,969.8,0.0
