Holding Name,Buying Price,Current Price,Number of Units,Total Amount,Perct Change
ASHOKLEY,142.0,137.78,70,9644.6,-2.97
HINDCOPPER,312.0,337.95,25,8448.75,8.32
LTF,262.33,259.87,15,3898.05,-0.94
BEL,412.65,413.25,8,3306.0,0.15
Cash,287.85,287.85,1,287.85,0.0
