Holding Name,Buying Price,Current Price,Number of Units,Total Amount,Perct Change
GMRAIRPORT,104.05,103.76,25,2594,-0.28
BHEL,281.3,277.9,10,2779,-1.21
BSE,2858.63,2802.2,1,2802.2,-1.97
CDSL,1610.2,1587.6,1,1587.6,-1.4
Cash,17418.05,17418.05,1,17418.05,0.0
