Holding Name,Buying Price,Current Price,Number of Units,Total Amount,Perct Change
BSE,2385.0,2487.5,1,2487.5,4.3
LTF,266.26,266.96,30,8008.8,0.26
BEL,412.8,418.65,10,4186.5,1.42
LAURUSLABS,900.05,934.4,3,2803.2,3.82
Cash,2256.95,2256.95,1,8749.95,0.0
