Holding Name,Buying Price,Current Price,Number of Units,Total Amount,Perct Change
BSE,2385.0,2475.0,1,2475.0,3.77
LTF,266.26,267.0,30,8010.0,0.28
BEL,412.8,422.05,10,4220.5,2.24
LAURUSLABS,900.05,926.4,3,2779.2,2.93
GMRINFRA,93.2,93.2,50,4660.0,0.0
INDUSTOWER,361.55,361.55,5,1807.75,0.0
Cash,2282.2,2282.2,1,2282.2,0.0
