Holding Name,Buying Price,Current Price,Number of Units,Total Amount,Perct Change
BSE,2385.0,2644.2,1,2644.2,10.87
LTF,275.59,295.05,28,8261.4,7.06
BEL,419.45,427.3,10,4273.0,1.87
LAURUSLABS,900.05,985.7,3,2957.1,9.52
BHEL,265.49,285.8,10,2858.0,7.65
NHPC,81.48,81.89,30,2456.7,0.5
SAIL,144.05,144.05,10,1440.5,0.0
CDSL,1600.90,1600.90,1,1600.90,0.0
Cash,472.6,472.6,1,969.8,0.0
