Holding Name,Buying Price,Current Price,Number of Units,Total Amount,Perct Change
GMRAIRPORT,108.4,107.64,40,4305.6,-0.7
LTF,311.2,309.15,20,6183.0,-0.66
RVNL,324.1,321.65,20,6433.0,-0.76
ABCAPITAL,357.6,356.1,10,3561.0,-0.42
NBCC,116.65,118.01,40,4720.4,1.17
LAURUSLABS,1031.35,1029.4,1,1029.4,-0.19
Cash,868.95,868.95,1,868.95,0.0
