Holding Name,Buying Price,Current Price,Number of Units,Total Amount,Perct Change
GMRAIRPORT,108.4,106.63,40,4265.2,-1.63
LTF,311.2,306.05,20,6121.0,-1.65
RVNL,324.1,317.9,20,6358.0,-1.91
ABCAPITAL,357.6,355.75,10,3557.5,-0.52
NBCC,116.65,115.26,40,4610.4,-1.19
LAURUSLABS,1031.35,1020.2,1,1020.2,-1.08
Cash,868.95,868.95,1,868.95,0.0
