Holding Name,Buying Price,Current Price,Number of Units,Total Amount,Perct Change
BSE,2385.0,2419.7,1,2419.7,1.45
LTF,266.26,268.35,30,8050.5,0.78
BEL,412.8,413.55,10,4135.5,0.18
LAURUSLABS,900.05,959.65,3,2878.95,6.62
INDUSTOWER,361.55,385.9,5,1929.5,6.73
Cash,6942.2,6942.2,1,6942.2,0.0
