Holding Name,Buying Price,Current Price,Number of Units,Total Amount,Perct Change
BSE,2385.0,2447.3,1,2447.3,2.61
LTF,266.26,268.17,30,8045.1,0.72
BEL,412.8,407.2,10,4072.0,-1.36
LAURUSLABS,900.05,961.7,3,2885.1,6.85
INDUSTOWER,361.55,381.05,5,1905.25,5.39
Cash,6942.2,6942.2,1,6942.2,0.0
