Holding Name,Buying Price,Current Price,Number of Units,Total Amount,Perct Change
BSE,2385.0,2834.1,1,2834.1,18.83
LTF,275.59,296.5,7,2075.5,7.59
BEL,419.45,420.9,10,4209.0,0.35
LAURUSLABS,900.05,1006.9,3,3020.7,11.87
BHEL,265.49,289.1,10,2891.0,8.89
SAIL,142.68,138.9,15,2083.5,-2.65
CDSL,1617.6,1605.7,3,4817.1,-0.74
NBCC,114.14,114.96,10,1149.6,0.72
Cash,4326.8,4326.8,1,4326.8,0.0
