Holding Name,Buying Price,Current Price,Number of Units,Total Amount,Perct Change
BSE,2385.0,2811.9,1,2811.9,17.9
LTF,275.59,299.4,14,4191.6,8.64
BEL,419.45,424.55,10,4245.5,1.22
LAURUSLABS,900.05,1021.85,3,3065.55,13.53
BHEL,265.49,285.5,10,2855.0,7.54
SAIL,142.68,141.33,30,4239.9,-0.95
CDSL,1617.6,1631.5,3,4894.5,0.86
NBCC,114.14,116.82,10,1168.2,2.35
Cash,167.8,167.8,1,167.8,0.0
