Holding Name,Buying Price,Current Price,Number of Units,Total Amount,Perct Change
HINDCOPPER,312.0,332.65,25,8316.25,6.62
BEL,412.65,410.3,8,3282.4,-0.57
Cash,287.85,287.85,1,13830.5,0.0
