Holding Name,Buying Price,Current Price,Number of Units,Total Amount,Perct Change
BSE,2385,2448.3,1,2448.3,2.65
RBLBANK,291.6,291.5,10,2915,-0.03
IDBI,93.46,91.74,20,1834.8,-1.84
Cash,2138.2,2138.2,1,18233.5,0
