Holding Name,Buying Price,Current Price,Number of Units,Total Amount,Perct Change
ASHOKLEY,142.0,141.93,70,9935.1,-0.05
HINDCOPPER,312.0,311.97,35,10918.95,-0.01
Cash,1.0,1.0,4140,4140.0,0.0
