Holding Name,Buying Price,Current Price,Number of Units,Total Amount,Perct Change
ASHOKLEY,142.0,139.79,70,9785.3,-1.56
HINDCOPPER,312.0,338.4,35,11844.0,8.46
Cash,1.0,1.0,4140,4140.0,0.0
