Holding Name,Buying Price,Current Price,Number of Units,Total Amount,Perct Change
BSE,2385.0,2509.2,1,2509.2,5.21
RBLBANK,291.6,306.75,10,3067.5,5.2
IDBI,93.46,92.31,20,1846.2,-1.23
Cash,2138.2,2138.2,1,18233.5,0.0
