Holding Name,Buying Price,Current Price,Number of Units,Total Amount,Perct Change
ASHOKLEY,142.0,141.23,70,9886.1,-0.54
HINDCOPPER,312.0,335.3,35,11735.5,7.47
Cash,1.0,1.0,4140,4140.0,0.0
