Holding Name,Buying Price,Current Price,Number of Units,Total Amount,Perct Change
BSE,2385.0,2455.5,1,2455.5,2.96
LTF,266.26,275.2,30,8256.0,3.36
BEL,419.45,408.8,20,8176.0,-2.54
LAURUSLABS,900.05,979.8,3,2939.4,8.86
BHEL,265.49,260.05,10,2600.5,-2.05
IDBI,103.8,97.26,10,972.6,-6.3
Cash,806.3,806.3,1,806.3,0.0
