Holding Name,Buying Price,Current Price,Number of Units,Total Amount,Perct Change
BSE,2385.0,2456.3,1,2456.3,2.99
RBLBANK,291.6,299.55,10,2995.5,2.73
IDBI,93.46,93.15,20,1863.0,-0.33
Cash,2138.2,2138.2,1,18233.5,0.0
