Holding Name,Buying Price,Current Price,Number of Units,Total Amount,Perct Change
GMRAIRPORT,108.4,105.35,40,4214.0,-2.81
LTF,311.2,302.8,20,6056.0,-2.7
RVNL,324.1,311.65,20,6233.0,-3.84
ABCAPITAL,357.6,350.0,10,3500.0,-2.13
NBCC,116.65,113.21,40,4528.4,-2.95
LAURUSLABS,1031.35,1016.5,1,1016.5,-1.44
Cash,868.95,868.95,1,868.95,0.0
