Holding Name,Buying Price,Current Price,Number of Units,Total Amount,Perct Change
BSE,2385.0,2678.3,1,2678.3,12.3
LTF,266.26,303.6,30,9108.0,14.02
BEL,419.45,414.25,20,8285.0,-1.24
LAURUSLABS,900.05,982.15,3,2946.45,9.12
BHEL,265.49,263.85,10,2638.5,-0.62
IDBI,103.8,100.42,10,1004.2,-3.26
Cash,806.3,806.3,1,806.3,0.0
