Holding Name,Buying Price,Current Price,Number of Units,Total Amount,Perct Change
BSE,2385.0,2760.2,1,2760.2,15.73
LTF,275.59,292.2,28,8181.6,6.03
BEL,419.45,419.8,10,4198.0,0.08
LAURUSLABS,900.05,997.05,3,2991.15,10.78
BHEL,265.49,281.5,10,2815.0,6.03
NHPC,81.48,81.46,30,2443.8,-0.02
SAIL,144.05,144.72,10,1447.2,0.47
CDSL,1600.9,1626.3,1,1626.3,1.59
Cash,472.6,472.6,1,969.8,0.0
