Holding Name,Buying Price,Current Price,Number of Units,Total Amount,Perct Change
BSE,2385.0,2494.1,1,2494.1,4.57
RBLBANK,295.55,326.65,20,6533.0,10.52
LTF,266.26,267.54,30,8026.2,0.48
BEL,412.8,416.5,10,4165.0,0.9
LAURUSLABS,900.05,920.65,3,2761.95,2.29
Cash,2256.95,2256.95,1,2256.95,0.0
