Holding Name,Buying Price,Current Price,Number of Units,Total Amount,Perct Change
BSE,2385.0,2827.6,1,2827.6,18.56
LTF,275.59,294.15,20,5883,6.73
BEL,419.45,426.85,10,4268.5,1.76
LAURUSLABS,900.05,999.0,3,2997.0,10.99
BHEL,265.49,281.6,10,2816.0,6.07
NHPC,81.48,80.3,30,2409.0,-1.45
SAIL,143.02,141.99,20,2860.4,-0.72
CDSL,1613.5,1625.8,2,3226.7,0.76
Cash,181,181,1,181,0.0
